Name,Country,Sector,Company
Gilberto Tomazoni,Brasil,Alimentos y Bebidas,JBS
Gilson Finkelsztain,Brasil,Finanzas,B3
Gina Diez Barroso,México,Educación,Dalia Empower
Gina Gotthilf,Brasil,Tecnología,Latitud
Gonzalo Pérez,Colombia,Finanzas,Grupo Sura
Gregorio Pérez Companc,Argentina,Holding,Grupo Pérez Companc
Guadalupe Phillips,México,Construcción,ICA
Guibert Englebienne,Argentina,Tecnología,Globant / Endeavor Argentina
Guilherme Benchimol,Brasil,Finanzas,XP
Guilherme Horn,Brasil,Tecnología,WhatsApp
Guillermo Bueso,Honduras,Finanzas,Banco Atlántida
Guillermo Castillo Villacorta,Guatemala,Alimentos y bebidas,Cervecería Centro Americana
Guillermo Ochoa,México,Deportes,Futbolista
Gustavo Salinas,Argentina,Automotriz,Toyota
Gustavo Werneck,Brasil,Minería y Metales,Gerdau
Harold Eder,Colombia,Alimentos,Manuelita
Heike Paulmann,Chile,Comercio,Cencosud
Helena Caldeira,Brasil,Finanzas,Banco Inter
Henrique Dubugras y Pedro Franceschi,Brasil,Fintech,Brex
Henry A. Fernández,EEUU,Finanzas,MSCI
Hugo Rodrigues,Brasil,Medios y Entretenimiento,WMcCann
Hugo Sigman,Argentina,Salud,Grupo Insud
Héctor Hernández-Pons,México,Alimentos y bebidas,Grupo Herdez
Héctor Magnetto,Argentina,Medios y Entretenimiento,Grupo Clarín
Héctor Rizek,República Dominicana,Alimentos y bebidas,Rizek Cacao
Igão y Mítico,Brasil,Medios y Entretenimiento,Podpah
Ileana Musa,EEUU,Finanzas,Morgan Stanley
Ileana Rojas,Costa Rica,Tecnología,Intel
Indira Kempis,México,Servicio público,Senadora
Isabel Noboa,Ecuador,Holding,Nobis Holding de Inversiones
Isela Costantini,Argentina,Finanzas,Grupo Financiero GST
Ivonne Cuello,Colombia,Finanzas,LAVCA
Iván Arriagada,Chile,Minería,Antofagasta
Izabel Cristina Andriotti,Brasil,Servicios,Ambipar
Jaime Zunzunegui,México,Inversionista,Nazca Capital
Jaime y Gabriel Gilinski,Colombia,Finanzas y medios de comunicación,Grupo Gilinski
Jairo Corrales,Colombia,Inversionista,PEI Asset Management
James Eduardo Bellini,Brasil,Automotriz,Marcopolo
Janine Belmont,Perú,Comésticos,Yanbal International
Javier Arroyo Chávez,México,Comercio,Farmacias Guadalajara
Jean Jereissati,Brasil,Alimentos y Bebidas,Ambev
Jeane Tsutsui,Brasil,Salud,Fleury
"Jerónimo y Tomás Uribe, Santiago García y Rodrigo Sánchez-Ríos",Colombia,Proptech,La Haus
Jessica Alba,EEUU,Beauty,The Honest Company
Jesús Canahuati,Honduras,Manufactura,Grupo Elcatex
Joice y Gabriel Sens,Brasil,Comercio,Live!
Jonathan Davis,México,Inversionista,Macquarie México
Jorge Brito,Argentina,Holding,Banco Macro
Jorge Freitas,Brasil,Tecnología,Intelbras
Jorge Humberto Santos Reyna,México,Alimentos y bebidas,Arca Continental
Jorge López Lafuente,Bolivia,Tecnología,JalaSoft
Jorge Mandilego,Cuba,Emprendimiento,Cuba Emprende
Jorge Mario Velásquez,Colombia,Infraestructura,Grupo Argos
Jorge Moll Filho,Brasil,Salud,Rede D'Or
Jorge Paulo Lemann,Brasil,Alimentos y Bebidas,3G/AB InBev
Jorge Pérez,EEUU,Bienes Raíces,The Related Group
